fishcard_seq_number	c19_fishcard_12SPCR.30C.Coastal.Even.1.S28.L001	c19_fishcard_12SPCR.30C.Coastal.Even.2.S36.L001	c19_fishcard_12SPCR.30C.Coastal.Even.3.S44.L001	c19_fishcard_12SPCR.30C.Coastal.Skew1.1.S29.L001	c19_fishcard_12SPCR.30C.Coastal.Skew1.2.S37.L001	c19_fishcard_12SPCR.30C.Coastal.Skew1.3.S45.L001	c19_fishcard_12SPCR.30C.Coastal.Skew2.1.S30.L001	c19_fishcard_12SPCR.30C.Coastal.Skew2.2.S38.L001	c19_fishcard_12SPCR.30C.Coastal.Skew2.3.S46.L001	c19_fishcard_12SPCR.30C.North.Even.1.S34.L001	c19_fishcard_12SPCR.30C.North.Even.2.S42.L001	c19_fishcard_12SPCR.30C.North.Even.3.S50.L001	c19_fishcard_12SPCR.30C.North.Skew1.1.S35.L001	c19_fishcard_12SPCR.30C.North.Skew1.2.S43.L001	c19_fishcard_12SPCR.30C.North.Skew1.3.S51.L001	c19_fishcard_12SPCR.30C.North.Skew2.1.S52.L001	c19_fishcard_12SPCR.30C.North.Skew2.2.S53.L001	c19_fishcard_12SPCR.30C.North.Skew2.3.S54.L001	c19_fishcard_12SPCR.30C.Oceanic.Even.1.S31.L001	c19_fishcard_12SPCR.30C.Oceanic.Even.2.S39.L001	c19_fishcard_12SPCR.30C.Oceanic.Even.3.S47.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew1.1.S32.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew1.2.S40.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew1.3.S48.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew2.1.S33.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew2.2.S41.L001	c19_fishcard_12SPCR.30C.Oceanic.Skew2.3.S49.L001	c19_fishcard_12SPCR.33C.Coastal.Even.1.S55.L001	c19_fishcard_12SPCR.33C.Coastal.Even.2.S63.L001	c19_fishcard_12SPCR.33C.Coastal.Even.3.S71.L001	c19_fishcard_12SPCR.33C.Coastal.Skew1.1.S56.L001	c19_fishcard_12SPCR.33C.Coastal.Skew1.2.S64.L001	c19_fishcard_12SPCR.33C.Coastal.Skew1.3.S72.L001	c19_fishcard_12SPCR.33C.Coastal.Skew2.1.S57.L001	c19_fishcard_12SPCR.33C.Coastal.Skew2.2.S65.L001	c19_fishcard_12SPCR.33C.Coastal.Skew2.3.S73.L001	c19_fishcard_12SPCR.33C.North.Even.1.S61.L001	c19_fishcard_12SPCR.33C.North.Even.2.S69.L001	c19_fishcard_12SPCR.33C.North.Even.3.S77.L001	c19_fishcard_12SPCR.33C.North.Skew1.1.S62.L001	c19_fishcard_12SPCR.33C.North.Skew1.2.S70.L001	c19_fishcard_12SPCR.33C.North.Skew1.3.S78.L001	c19_fishcard_12SPCR.33C.North.Skew2.1.S79.L001	c19_fishcard_12SPCR.33C.North.Skew2.2.S80.L001	c19_fishcard_12SPCR.33C.North.Skew2.3.S81.L001	c19_fishcard_12SPCR.33C.Oceanic.Even.1.S58.L001	c19_fishcard_12SPCR.33C.Oceanic.Even.2.S66.L001	c19_fishcard_12SPCR.33C.Oceanic.Even.3.S74.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew1.1.S59.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew1.2.S67.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew1.3.S75.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew2.1.S60.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew2.2.S68.L001	c19_fishcard_12SPCR.33C.Oceanic.Skew2.3.S76.L001	c19_fishcard_12SPCR.36C.Coastal.Even.1.S82.L001	c19_fishcard_12SPCR.36C.Coastal.Even.2.S90.L001	c19_fishcard_12SPCR.36C.Coastal.Even.3.S98.L001	c19_fishcard_12SPCR.36C.Coastal.Skew1.1.S83.L001	c19_fishcard_12SPCR.36C.Coastal.Skew1.2.S91.L001	c19_fishcard_12SPCR.36C.Coastal.Skew1.3.S99.L001	c19_fishcard_12SPCR.36C.Coastal.Skew2.1.S84.L001	c19_fishcard_12SPCR.36C.Coastal.Skew2.2.S92.L001	c19_fishcard_12SPCR.36C.Coastal.Skew2.3.S100.L001	c19_fishcard_12SPCR.36C.North.Even.1.S88.L001	c19_fishcard_12SPCR.36C.North.Even.2.S96.L001	c19_fishcard_12SPCR.36C.North.Even.3.S104.L001	c19_fishcard_12SPCR.36C.North.Skew1.1.S89.L001	c19_fishcard_12SPCR.36C.North.Skew1.2.S97.L001	c19_fishcard_12SPCR.36C.North.Skew1.3.S105.L001	c19_fishcard_12SPCR.36C.North.Skew2.1.S134.L001	c19_fishcard_12SPCR.36C.North.Skew2.2.S106.L001	c19_fishcard_12SPCR.36C.North.Skew2.3.S107.L001	c19_fishcard_12SPCR.36C.Oceanic.Even.1.S85.L001	c19_fishcard_12SPCR.36C.Oceanic.Even.2.S93.L001	c19_fishcard_12SPCR.36C.Oceanic.Even.3.S101.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew1.1.S86.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew1.2.S94.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew1.3.S102.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew2.1.S87.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew2.2.S95.L001	c19_fishcard_12SPCR.36C.Oceanic.Skew2.3.S103.L001	c19_fishcard_12SPCR.39C.Blackfin.Tuna.S133.L001	c19_fishcard_12SPCR.39C.Coastal.Even.1.S108.L001	c19_fishcard_12SPCR.39C.Coastal.Even.2.S115.L001	c19_fishcard_12SPCR.39C.Coastal.Even.3.S121.L001	c19_fishcard_12SPCR.39C.Coastal.Skew1.1.S109.L001	c19_fishcard_12SPCR.39C.Coastal.Skew1.2.S116.L001	c19_fishcard_12SPCR.39C.Coastal.Skew1.3.S122.L001	c19_fishcard_12SPCR.39C.Coastal.Skew2.1.S135.L001	c19_fishcard_12SPCR.39C.Coastal.Skew2.2.S117.L001	c19_fishcard_12SPCR.39C.Coastal.Skew2.3.S123.L001	c19_fishcard_12SPCR.39C.North.Even.1.S113.L001	c19_fishcard_12SPCR.39C.North.Even.2.S119.L001	c19_fishcard_12SPCR.39C.North.Even.3.S127.L001	c19_fishcard_12SPCR.39C.North.Skew1.1.S114.L001	c19_fishcard_12SPCR.39C.North.Skew1.2.S120.L001	c19_fishcard_12SPCR.39C.North.Skew1.3.S128.L001	c19_fishcard_12SPCR.39C.North.Skew2.1.S129.L001	c19_fishcard_12SPCR.39C.North.Skew2.2.S130.L001	c19_fishcard_12SPCR.39C.North.Skew2.3.S131.L001	c19_fishcard_12SPCR.39C.Oceanic.Even.1.S110.L001	c19_fishcard_12SPCR.39C.Oceanic.Even.2.S136.L001	c19_fishcard_12SPCR.39C.Oceanic.Even.3.S124.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew1.1.S111.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew1.2.S118.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew1.3.S125.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew2.1.S112.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew2.2.S137.L001	c19_fishcard_12SPCR.39C.Oceanic.Skew2.3.S126.L001	c19_fishcard_12SPCR.39C.Tilapia.S132.L001	c19_fishcard_16SPCR.Coastal.Even.1.S1.L001	c19_fishcard_16SPCR.Coastal.Even.2.S9.L001	c19_fishcard_16SPCR.Coastal.Even.3.S17.L001	c19_fishcard_16SPCR.Coastal.Skew1.1.S2.L001	c19_fishcard_16SPCR.Coastal.Skew1.2.S10.L001	c19_fishcard_16SPCR.Coastal.Skew1.3.S18.L001	c19_fishcard_16SPCR.North.Even.1.S7.L001	c19_fishcard_16SPCR.North.Even.2.S15.L001	c19_fishcard_16SPCR.North.Even.3.S23.L001	c19_fishcard_16SPCR.Coastal.Skew2.1.S3.L001	c19_fishcard_16SPCR.Coastal.Skew2.3.S19.L001	sum taxonomy
forward_c19_fishcard_6645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;
forward_c19_fishcard_6646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_6647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;;
forward_c19_fishcard_6648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;;
forward_c19_fishcard_6649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_6650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;;;
forward_c19_fishcard_6651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Hexagrammidae;;
forward_c19_fishcard_6652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_6653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;;;;
forward_c19_fishcard_6654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
forward_c19_fishcard_6655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;;
forward_c19_fishcard_6656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;
forward_c19_fishcard_6657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;;
forward_c19_fishcard_6658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;;
forward_c19_fishcard_6659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diogenichthys;
forward_c19_fishcard_6660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diogenichthys;
forward_c19_fishcard_6661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;
forward_c19_fishcard_6662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;
forward_c19_fishcard_6663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Stenobrachius;
forward_c19_fishcard_6664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
forward_c19_fishcard_6665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
forward_c19_fishcard_6666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Bathylagoides;Bathylagoides wesethi
forward_c19_fishcard_6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Bathylagoides;Bathylagoides wesethi
forward_c19_fishcard_6668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Bathylagoides;Bathylagoides wesethi
forward_c19_fishcard_6669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Lipolagus;Lipolagus ochotensis
forward_c19_fishcard_6670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Leuroglossus;
forward_c19_fishcard_6671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Leuroglossus;
forward_c19_fishcard_6672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Leuroglossus;
forward_c19_fishcard_6673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;
forward_c19_fishcard_6674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;;
forward_c19_fishcard_6675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Leuroglossus;
forward_c19_fishcard_6676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Lipolagus;Lipolagus ochotensis
forward_c19_fishcard_6677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;
